timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,tracker_rot_quat_x,tracker_rot_quat_y,tracker_rot_quat_z,tracker_rot_quat_w,sensor_x,sensor_y,sensor_z
1754658739.2607129,0.08832913637161255,1.0023530721664429,-0.08295206725597382,65.11393432762357,-83.41127349758416,24.399766721688092,0.5111863895273554,-0.46319097495519257,0.4829153224541941,0.5393841166730045,-169.8,33.2,-52.97
1754658739.466378,0.09844118356704712,1.0037026405334473,-0.08073346316814423,66.87877509793974,-83.30643862156491,22.40036179715718,0.5116209532707406,-0.4640676783013258,0.4803738724483897,0.5404867865174023,-171.0,39.0,-52.65
1754658739.6572833,0.10526055097579956,1.0042425394058228,-0.07696472108364105,65.19617509319804,-83.76013137813226,23.990362678739682,0.5092447334625505,-0.4667666730947567,0.48215969651057256,0.5388140922380877,-175.6,44.4,-50.39
1754658739.8932276,0.10529553890228271,1.0034921169281006,-0.06919126212596893,65.31816206771835,-83.60630626914566,23.873738687498165,0.5096418852271083,-0.46584801968476747,0.481736183351279,0.5396118151118159,-184.0,46.6,-47.16
1754658740.099893,0.10456544160842896,1.0050504207611084,-0.06125493347644806,66.01031798237032,-82.93995151996992,23.182319297893308,0.5114186686197947,-0.4620228156139462,0.4796270596562406,0.5430871149246665,-196.6,46.8,-40.38
1754658740.3059,0.10462260246276855,1.0044159889221191,-0.05286933481693268,69.38251184459936,-81.9018243206327,20.182775653844693,0.5176409536783212,-0.45524251552367295,0.4760716962201666,0.5460382196857121,-214.8,46.6,-28.42
1754658740.5296724,0.10274457931518555,1.0043659210205078,-0.04322300851345062,69.84665987138766,-80.86625992167211,19.732143836884287,0.5204222971717642,-0.4492382490042886,0.47273208166361486,0.5512439233594737,-238.0,45.0,-11.31
1754658740.7373421,0.10193973779678345,1.003763198852539,-0.03358064591884613,69.84356088199364,-80.33620000340127,19.5473460427726,0.5208790222506281,-0.44694841755893183,0.4702565408055636,0.5547799865254827,-266.6,42.2,17.44
1754658740.9381196,0.10400819778442383,1.0032864809036255,-0.02325548231601715,70.88070277085492,-79.4037053812841,18.52788836243024,0.5240909002716609,-0.4418299016296865,0.46648457768478474,0.5590232853655688,-300.8,40.8,58.14
1754658741.1616998,0.10355782508850098,1.0025815963745117,-0.011091813445091248,71.50421704382343,-78.64575131122031,18.144142267411333,0.52742594367725,-0.43657083035077454,0.4646108997232148,0.5615731530364514,-344.2,40.0,129.85
